代號,一個月累計漲跌幅,1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202
1101,3.45,567.0,2542.0,547.1,69.6,58.5,13.5,15.5,11.3,11.4,13.1,9.32,20M07,20Q1,2.18,-2.96,-6.83,0.36,10.8,3.33,-3.17,0.72,0.72,-6.0,0.45,0.45,-2.76,-0.84,-0.84,-1.55,-0.4,-0.4,-53.8,-28.6,-28.6,-1.0,-2,-3,-3,102.0,626.0,26.3,20.3,15.8,1.67,0.55,26.3,20.3,15.8,1.67,0.55,1.39,-4.36,-0.56,-3.58,-2.97,101↘,91.9↗,98.5↘,5.78,220.0,76.1,2073.0,642.0,616.0,-162.0,-162.0,642.0,616.0,2073.0,177.0,20M07,20Q1,29高,4高,5高,,6.0,7.0,28,39,-41,1.0,1.0,4,4,10,1.0,1.0,4,9,15,9,-2,-29,-1,11,3.45,8.27,-4,17.9,-5,11.4,-2,7.94,2,5.86,9,3.28,-0.0011,-0.0024,-0.0036,-0.0027,-0.0044,-0.0097,0.0004,0.0006,0.0006,0.0013,0.002,0.0032,0.0006,0.0005,-0.0007,0.0009,-0.0002,-0.0042,-5828,-13146,-19542,-14876,-24088,-53184,-0.179,-0.217,-0.0897,-0.0999,-0.114,2187,3495,3170,6900,10807,17550,0.0673,0.0586,0.0352,0.0416,0.0448,0.0377,0.109,2520,-3880,4682,-872,0.0,14.3,20W32,0.4,0.57,0.6,-54,-3,-1,-0.07,-0.1,-0.05,0.02,20M08,0.4,0.57,0.6,-54,-3,-1,-3869.0,-5376.0,-2791.0,1019.0,0.21,19.8,46.76↗,45.96↗,45.5↗,44.04↗,42.65↗,41.92↗,0.59,0.55,0.61,0.44,0.39,32520,33153↗,24103↗,21549↗,-0.0056,0.0119,0.0219,0.0559,0.0902
1215,3.38,26.8,188.0,26.8,43.0,33.0,13.0,16.2,9.31,12.9,15.5,9.41,20M07,20Q2,6.33,8.01,5.22,3.55,4.07,3.77,4.9,0.5,-0.99,5.82,0.61,-0.88,4.14,0.74,0.1,2.88,0.27,-0.57,100.0,19.2,10.6,1.0,1,1,1,18.8,126.0,16.7,10.1,8.51,5.56,1.74,14.3,7.22,6.47,8.24,2.61,2.3,-2.25,-2.98,-2.95,0.06,18.2↗,18.1↗,18.2↗,4.25,54.3,6.15,81.3,70.2,28.3,0.15,-3.52,70.2,28.3,81.3,8.88,20M07,20Q2,6高,2高,1高,3減→增,4.0,3.0,4,2,6,1.0,1.0,1,1,1,4.0,4.0,3,2,4,5,-2,-1,-1,13,3.38,-0.99,-1,7.73,1,14.8,1,3.57,2,3.12,1,3.12,-0.0008,0.0037,0.002,0.0023,0.0018,-0.0046,0.0006,0.0008,0.0008,0.0008,0.0006,0.0005,-0.0004,0.0055,0.0057,0.0058,0.0043,-0.0023,-212,994,539,629,488,-1219,-0.0773,0.0567,0.0593,0.0355,-0.0535,153,209,209,209,169,143,0.0558,0.0312,0.022,0.0197,0.0123,0.0063,-0.0419,1484,1520,1541,1165,0.0,10.0,20W32,-0.04,-0.38,-0.02,2,-2,0,-0.01,0.35,-0.03,-0.33,20M08,-0.04,-0.38,-0.02,2,-2,0,-20.76,935.3,-84.3,-881.0,0.0,7.93,69.54↗,68.17↗,68↗,70.31↘,65.58↗,65.83↘,1.02,1.18,0.79,0.51,0.39,2743,2120↗,1373↗,1057↗,0.0109,0.0312,0.0339,-0.0001,0.0719
1440,6.19,166.0,185.0,166.0,65.4,30.9,27.2,32.9,23.4,30.1,37.0,25.3,20M07,20Q2,-0.31,-37.8,-27.8,4.41,-5.86,-15.3,-5.83,-3.04,0.82,-10.1,-8.19,-1.8,-5.69,-5.66,-1.64,-0.95,-0.99,-0.71,-250.0,-280.0,-157.0,-1.0,-1,-1,-1,13.5,99.5,3.93,-9.63,-3.79,-0.56,-0.09,7.34,-3.74,-0.45,-0.16,-0.04,-0.08,-0.31,0.48,0.05,-0.4,12.9↗,14.3↘,15.9↘,-69.8,35.6,-1.63,244.0,123.0,55.0,-7.72,-16.8,123.0,55.0,244.0,5.29,20M07,20Q2,108高,8高,9高,2增→減,-14.0,-6.0,-12,-12,-12,-3.0,-1.0,-2,-2,-2,-8.0,-3.0,-4,-4,-4,-17,-17,11,42,1,6.19,29.1,-1,17.9,4,10.3,1,11.1,0,0.0,0,0.0,-0.0004,0.0003,0.0002,0.0014,0.0038,0.0019,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0004,-0.0001,-0.0001,0.001,0.0026,0.001,-581,550,410,2276,6219,3163,-0.179,0.0319,0.109,0.154,0.0234,0,0,0,0,1,108,0.0,0.0,0.0,0.0,0.0,0.0008,-0.218,-95,-234,1720,4335,0.0,14.2,20W32,0.03,0.1,0.11,-4,0,0,-0.04,-0.03,-0.06,0.05,20M08,0.03,0.1,0.11,-4,0,0,-707.6,-531.4,-931.2,758.3,0.0,0.0,11.25↘,11.19↗,11.16↘,10.59↗,9.76↗,10.38↘,0.2,0.26,0.25,0.24,0.37,3241,4183↗,4038↘,5839↘,-0.0089,-0.0036,-0.0006,0.0528,0.142
1476,18.1,27.4,1045.0,27.4,42.7,19.3,24.4,30.2,18.5,25.1,30.4,18.7,20M07,20Q2,42.5,11.0,-9.27,22.6,37.9,22.9,1.26,-2.17,-2.04,1.02,-3.64,-3.11,1.41,-2.42,-2.69,0.26,-2.32,-3.86,1.97,-33.6,-28.6,,1,1,1,27.3,142.0,27.2,16.4,13.0,4.02,2.59,26.5,15.8,12.3,8.14,5.13,-0.08,-0.45,0.15,-0.4,-0.52,22.3↗,19.8↗,22.2↗,2.12,54.6,-0.21,165.0,75.3,,-1.44,3.26,75.3,,165.0,45.5,20M07,20Q2,2高,1高,3高,,26.0,29.0,31,24,-37,8.0,6.0,8,6,-9,8.0,9.0,8,5,10,-15,42,29,-17,9,18.1,40.6,5,26.3,3,16.1,3,7.43,1,1.72,4,5.2,0.0036,0.0048,0.0061,0.0087,0.0103,0.012,0.0002,0.0002,0.0002,0.0007,0.0038,0.0045,0.0033,0.0045,0.006,0.0089,0.0143,0.0173,991,1304,1664,2377,2817,3304,0.406,0.318,0.263,0.15,0.108,42,42,52,183,1052,1239,0.0172,0.0112,0.0099,0.0203,0.0559,0.0406,0.367,1247,1657,2443,3932,0.0,24.0,20W32,0.22,0.48,0.01,2,3,0,-0.12,-0.14,0.17,0.31,20M08,0.22,0.48,0.01,2,3,0,-319.6,-392.8,454.4,849.6,2.02,12.1,370.2↗,357↗,341.8↗,329.8↗,313.4↗,355.9↘,0.89,0.64,0.66,0.69,0.51,2439,1804↗,1881↗,1423↗,0.0292,0.0674,0.115,0.155,0.216
1477,15.7,22.0,398.0,22.0,30.6,17.6,19.1,24.5,14.2,21.6,27.2,16.4,20M07,20Q2,3.08,4.48,-13.0,14.6,21.3,6.15,2.28,2.59,0.01,-0.34,1.42,0.78,0.71,1.68,0.6,-0.6,-0.27,-1.27,-17.0,-0.62,-7.31,-1.0,-1,2,-3,22.2,131.0,21.9,9.38,7.65,3.92,1.61,20.6,9.58,7.25,8.74,3.55,0.97,-0.48,-0.67,-0.35,0.49,19.4↗,18.3↗,20.9↗,11.5,47.3,2.13,88.1,69.5,,1.07,2.7,69.5,,88.1,11.8,20M07,20Q2,21高,3高,2高,連3增,14.0,33.0,22,-36,-13,5.0,8.0,6,8,-5,9.0,10.0,8,9,-4,-38,-29,-29,-29,14,15.7,54.7,1,33.9,1,19.7,4,6.89,-2,0.83,-1,0.83,0.0026,0.0025,0.0039,0.0059,0.0158,0.0446,0.0,-0.0001,-0.0001,-0.0007,0.0067,0.008,0.002,0.0016,0.0023,0.003,0.0216,0.0541,570,543,852,1299,3464,9800,0.339,0.2,0.125,0.116,0.0942,-7,-23,-23,-161,1468,1762,-0.0042,-0.0083,-0.0054,-0.0155,0.049,0.0169,0.264,358,505,662,4753,-591.7,9.79,20W32,1.25,0.83,0.71,10,4,2,0.21,0.21,0.46,-0.35,20M08,1.25,0.83,0.71,10,4,2,465.4,457.9,1017.0,-766.3,0.0,24.0,181↘,179↗,175.4↗,159.5↗,142.5↗,153.3↘,0.76,0.65,0.95,1.36,2.15,1681,2083↘,2995↘,4386↘,0.0,0.0112,0.0318,0.135,0.27
1515,9.43,18.2,154.0,18.1,47.3,25.5,20.6,31.0,13.6,18.7,26.0,12.9,20M07,20Q2,46.3,63.5,3.01,31.8,67.7,62.0,1.84,1.44,-0.4,3.49,5.86,2.48,0.7,1.23,-18.9,1.43,1.26,-25.8,46.9,46.9,-76.0,3.0,1,1,1,10.8,43.8,18.5,10.2,7.0,4.0,0.72,17.7,8.73,6.7,6.74,1.21,-1.65,-0.28,-1.3,-3.27,-1.93,8.23↗,6.46↗,6.69↗,-17.3,18.8,-2.98,31.0,33.6,3.63,-3.48,-3.42,33.6,3.63,31.0,16.1,20M07,20Q2,1高,1高,1高,連4增,-45.0,12.0,23,10,15,-12.0,3.0,4,1,2,-9.0,3.0,5,3,4,-3,-46,-12,-2,4,9.43,21.2,1,0.52,-1,7.31,-2,1.1,3,1.81,4,3.11,0.0001,-0.0053,-0.0046,-0.0096,-0.013,0.0007,0.0004,0.0013,0.0017,0.0024,0.0109,0.0201,-0.0002,-0.0049,-0.003,-0.0096,-0.0015,0.0219,22,-954,-826,-1751,-2366,118,0.0052,-0.0475,-0.0586,-0.0335,0.0009,80,233,315,436,1987,3650,0.0191,0.0178,0.0181,0.0146,0.0281,0.0271,-0.01,-891,-536,-1748,-272,0.0,11.9,20W32,2.08,1.08,0.68,11,1,1,0.64,0.36,0.36,0.03,20M08,2.08,1.08,0.68,11,1,1,1162.0,647.6,658.0,61.0,0.0,3.85,88.36↘,85.78↗,82.77↗,80.35↗,68.3↗,74.86↘,2.31,3.19,3.29,3.89,3.38,4191,5972↘,7065↘,6204↘,-0.0414,-0.0126,0.0234,0.0542,0.24
1589,36.4,10.6,107.0,10.6,12.6,8.3,20.6,30.5,13.2,140.0,221.0,99.9,20M07,20Q1,11.1,19.0,-2.6,8.16,33.7,23.6,-9.38,-2.85,-2.85,-14.3,-7.41,-7.41,-17.6,-3.13,-3.13,-3.64,-0.17,-0.17,-165.0,-6.0,-6.0,1.0,-2,-1,-1,8.02,40.7,11.2,-9.85,-9.98,-1.46,-1.06,11.2,-9.85,-9.98,-1.46,-1.06,3.95,-7.62,3.12,-0.62,-3.67,7.42↗,6↗,6.49↗,13.0,11.3,4.19,76.0,30.5,24.0,-3.89,-3.89,30.5,24.0,76.0,-6.16,20M07,20Q1,1高,1高,4低,連2增,-1.0,-1.0,-1,-2,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,7,-1,6,-16,-9,36.4,66.9,-1,3.43,1,0.73,1,0.25,1,0.75,1,0.4,-0.0056,0.0022,-0.0013,0.0018,-0.0193,-0.0019,0.0012,0.0012,0.0014,0.0003,0.0074,0.0345,-0.0044,0.0051,0.0027,0.0039,-0.0107,0.0382,-592,235,-135,195,-2042,-198,-0.0343,-0.0033,0.004,-0.0206,-0.0009,130,130,150,34,779,3649,0.0075,0.004,0.0037,0.0007,0.0079,0.0166,-0.0267,540,285,411,-1127,8530.0,21.9,20W32,-1.09,-1.55,-1.84,2,-1,-1,0.72,-0.26,0.22,0.07,20M08,-1.09,-1.55,-1.84,2,-1,-1,755.5,-275.0,235.2,74.51,0.47,8.18,95.36↗,94.5↗,90.06↗,71.7↗,64.37↗,61.52↗,16.3,12.9,9.29,9.39,9.44,17256,9808↗,9918↗,10080↗,0.0644,0.0741,0.127,0.416,0.577
1598,27.5,12.1,103.0,11.5,30.2,3.9,24.4,33.6,19.2,74.1,110.0,55.0,20M07,20Q1,15.3,198.0,55.8,13.1,32.9,61.5,-2.62,-0.95,-0.95,-9.97,-6.23,-6.23,-4.65,-4.38,-4.38,-3.57,-3.7,-3.7,-98.8,-98.5,-98.5,1.0,-1,-2,-1,10.4,51.4,28.0,-0.07,0.31,0.21,0.01,28.0,-0.07,0.31,0.21,0.01,1.34,-11.36,6.58,-3.38,-10.02,9.22↗,7.85↗,6.46↗,127.0,16.5,0.79,27.1,40.6,9.12,-5.93,-5.93,40.6,9.12,27.1,2.07,20M07,20Q1,1高,1高,1高,連5增,-12.0,-8.0,-8,-7,-8,-3.0,-2.0,-3,-3,-3,-3.0,-2.0,-3,-3,-3,12,-1,5,-3,8,27.5,119.0,2,14.8,2,8.44,4,2.93,1,0.29,2,0.19,0.0116,0.0127,0.0115,0.0223,0.0093,0.0096,0.0002,0.0002,0.0002,0.0005,0.0005,0.0006,0.0116,0.0133,0.012,0.0234,0.011,0.01,1336,1462,1318,2562,1074,1101,0.192,0.102,0.114,0.0225,0.0121,20,20,20,60,60,67,0.0029,0.002,0.0015,0.0027,0.0013,0.0007,0.192,1529,1386,2695,1265,0.0,10.6,20W32,0.77,-0.31,-1.45,11,0,-1,0.97,0.11,-0.39,1.53,20M08,0.77,-0.31,-1.45,11,0,-1,1292.0,203.2,-402.1,1957.0,0.0,0.09,84.88↗,80.32↗,72.87↗,59.09↗,47.51↗,43.9↗,6.05,3.74,3.89,4.14,3.6,6963,4479↗,4763↗,4065↗,0.0049,0.062,0.171,0.443,0.795
1605,11.0,333.0,521.0,333.0,53.7,47.8,8.79,11.4,6.84,7.54,9.6,5.88,20M07,20Q2,1.0,-11.0,-26.3,7.14,-1.04,-5.21,9.94,11.0,6.51,10.5,10.3,5.25,9.27,5.01,2.58,3.66,1.57,0.96,2800.0,81.3,40.6,-1.0,1,1,1,89.0,620.0,16.2,12.0,10.0,3.89,0.87,11.7,7.19,5.81,4.01,0.9,0.8,-1.39,-1.59,-2.54,-0.6,83.1↘,89.9↗,93.9↘,20.5,291.0,26.3,754.0,347.0,299.0,-19.8,-71.8,347.0,299.0,754.0,62.8,20M07,20Q2,86高,8高,8高,連2增,2.0,2.0,20,10,14,1.0,1.0,7,4,6,7.0,6.0,10,9,12,22,-5,-4,-1,22,11.0,21.8,6,15.0,2,14.3,3,11.1,1,0.01,1,0.0,0.0005,0.001,0.002,0.0054,0.0072,0.0097,0.0,0.0,0.0,0.0,0.0006,0.0003,0.0006,0.0011,0.0021,0.004,0.0064,0.0071,1707,3255,6676,17814,23991,32189,0.126,0.119,0.14,0.131,0.114,1,1,1,1,1942,1042,0.0001,0.0,0.0,0.0,0.0106,0.0037,0.141,3682,7066,13221,21274,0.0,13.5,20W32,0.61,0.72,0.84,-30,-4,1,-0.14,0.02,-0.01,-0.11,20M08,0.61,0.72,0.84,-30,-4,1,-4494.0,565.8,-176.6,-3781.0,0.16,6.64,15.75↗,15.02↗,14.63↗,14.19↗,13.48↗,14.02↗,0.41,0.56,0.77,0.55,0.39,13549,25514↘,18353↗,13299↗,-0.0063,0.0419,0.0697,0.103,0.161
